Report group,Report,Extended Description,Type,Purpose,extended Purpose,Primary Audience,Owner,link,Url,rank
Budget Product,Top Products by Customer,product stock groups by customer vs the last period for visiting customers and considering growth opportunities,Standard report,Sales,"with margin - separate report to prevent errors product or group breakdown, sales performance tracking, time-based trend  , volume comparison, top line subcategory customer group class filter by Compare Date, Customer Description, Customer Group, Hierarchy, Rep Code, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Top Products by Customer - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection3c82bf41921b27bd6200?experience=power-bi,1
Budget Product,Sales Order by day,Sales order daily sales report SO level and line level transactions for the day,Standard report,Sales,"This is the daily sales order report - Matches the Cognos report sent to Phil margin  , product or group breakdown, sales performance tracking, time-based trend  , transaction date filter by Gross Revenue, Sol Line Type, Trans Date",Sales,Marty,Sales Order by day - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectionb7ebabf63ca1231a68de?experience=power-bi,1
DIFOT,DIFOT by desp date,DIFOT by day according to the DC performance measures filtered by transport vendor for DC usage,Standard report,Operations,"for the DC performance measures, carrier, status filter by ",Operations,Dan,DIFOT by desp date - DIFOT - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/71e409eb-aa60-49ca-b896-baa0074121ea/ReportSection?experience=power-bi,1
Picks,All vs Days,Line graph by day tracking for picks/cuts/dispatched together,HOD report,HOD report,"Warehouse performance regarding all of the above product or group breakdown, time-based trend  , picked, dispatched, cut filter by Transaction Date, Working Day",HOD,Dan,All vs Days - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSectionf32c3b73960d8a39880a?experience=power-bi,1
Budget Product,No GP Customer Sales,top products by customer vs the last period for visiting customers and considering growth opportunities,Standard report,Sales," product or group breakdown, sales performance tracking, time-based trend  , volume comparison, top line subcategory customer group series zone, region  rep code filter by Compare Date, Customer Description, Customer Group, Rep Code, Series, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,No GP Customer Sales - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection4ff2f677c748638ad20d?experience=power-bi,1
Copper Price,Dashboard,Overview of Copper price influences,Standard report,Pricing Meeting,For pricing meeting reports ,Sales,Scott,Dashboard - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/ReportSection3207b1378677a8944054?experience=power-bi,1
Copper Price,Bundle NZD HC,Compares Henry cables costs for a product bundle product in NZD,Standard report,Pricing Meeting,"Presents time-based trends, possibly across product or customer groups. filter by ",Sales,Scott,Bundle NZD HC - Copper Price - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/1ee56ba9-0fe1-4fd5-9f8f-8e391797aa03/f3cb8950bb63501b0a31?experience=power-bi,1
Sales Reports,Rep Budget Revenue,sales and budget by various categories like rep and customer group,Standard report,Sales,"General report for looking at things like rep revenue with flexible dates etc margin  , product or group breakdown, sales performance tracking, time-based trend   filter by Compare Date, Date, Parameter, Sales Rep, Sitemate, Sitemate Flag, Supergroup, Zone",Sales,Jimmy,Rep Budget Revenue - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/ReportSection2f293b605aa033069a8e?experience=power-bi,1
Budget Product,Top Branch Sales vs PCP,"General sales report at a customer level vs Prior period, drills to two other reports",Standard report,Sales," product or group breakdown, sales performance tracking, time-based trend  , volume comparison, zone region rep code customer group series sub category filter by Compare Date, Customer Description, Customer Group, Rep Code, Series, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Top Branch Sales vs PCP - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection7126cfbbc099b60099ce?experience=power-bi,2
Budget Product,Customer Drill,customer sales at a stock group level that is a drill down,drill report,Sales," margin  , product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Compare Date, Customer Description, Customer Group, Quote, Rep Code, Rows, Series, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Customer Drill - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection1c77b6631cded74c60d0?experience=power-bi,2
Budget Product,SKU Customer Drill,customer sales at sku level that is the drill down,drill report,Sales,,Sales,Jimmy,Stk Group/Cust Drill - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection540e4d1911778730b1cc?experience=power-bi,2
CNR Report,Rep/Customer Comparisons,Rep/Customer Comparisons,CNR,CNR,Compares products or customers across metrics like revenue or quantity. Likely used to benchmark performance. Chain and rigging,CNR,Chris,Rep/Customer Comparisons - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSection381ab56a216e9eac69c9?experience=power-bi,2
Budget Product,Out of Stock,dates out of stock items are expected based on shipments,Standard report,Sales," product or group breakdown, sales performance tracking, time-based trend   filter by Stock Unit Description, Top Line",Sales,Jimmy,Out Of Stock - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection6bae1e071d065100e22a?experience=power-bi,2
Budget Product,Expected dates,dates stock items are expected based on shipments,Standard report,Sales," product or group breakdown, time-based trend   filter by 0",Sales,Jimmy,Expected dates - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection1ad001e440505729cb94?experience=power-bi,2
Budget Product,Rep Region,Reviewing the sales by region for a rep vs the previous period for reviewing growth opportunities by region,Standard report,Sales,"For reps BDM to look at the sales by region product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Compare Date, Customer Group, Rep Code, Sitemate Code, Stock Group, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Rep Region - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection24a4c64c13e73f5db04e?experience=power-bi,3
Budget Product,Customer Sales Series Mgn,top product stock groups by customer vs the last period for visiting customers and considering growth opportunities includes margin,Standard report,Sales,"above but with margin - separate report to prevent errors margin  , product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Compare Date, Customer Description, Customer Group, Rep Code, Rows, Series, Sitemate Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Customer Sales Series Mgn - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection5422a4402d385b2e90ae?experience=power-bi,3
Budget Product,Customer Sales SKUs Mgn, top products by customer vs the last period for visiting customers and considering growth opportunities with margin,Standard report,Sales," margin  , product or group breakdown, sales performance tracking, time-based trend  , volume comparison filter by Compare Date, Customer Description, Customer Group, Rep Code, Sub Cat, Top Line, Trans Date, Zone",Sales,Jimmy,Customer Sales SKUs Mgn - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSectionda7aa945311e254c08b0?experience=power-bi,3
DIFOT,Details DIFOT  by desp date,Details for DIFOT by day according to the DC performance measures filtered by transport vendor,Standard report,Operations,"for the DC performance measures sales performance tracking, time-based trend   filter by Carrier, On Time, Order Log Date",Operations,Dan,Details DIFOT by desp date - DIFOT - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/71e409eb-aa60-49ca-b896-baa0074121ea/cc881f4222a93a694056?experience=power-bi,3
Picks,picks vs cuts,"used to track and compare picking activity versus cutting activity in the warehouse. These metrics are key indicators of throughput and workload, helping operations managers understand trends, identify bottlenecks, and make staffing or process adjustments.",Analysts report,Operations," product or group breakdown, time-based trend   filter by Transaction Date",Operations,Scott,Picks vs cuts - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSectiond9c1d55471a4e28b668f?experience=power-bi,3
Picks,Dispatch KPI,picking accuracy actual vs target,Analysts report,Operations," product or group breakdown, time-based trend   filter by Period",Operations,Scott,Dispatch KPI - Picks - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/622c309f-f3b3-421f-b985-216a0429e42b/ReportSectionb7b6f6c0dd573854de3d?experience=power-bi,4
Sales Reports,Rep Budget by Mth,rep budgets by month with year control,Standard report,," sales performance tracking, time-based trend   filter by Sales Rep, Sitemate Flag, Year Code",,Jimmy,Rep Budget by Mth - Sales Reports - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/6dc87e13-0058-41a6-a693-98df774ddde3/d4dfd97a2c98e34e2935?experience=power-bi,3
Budget Product,Top Orders,Top orders by customer group,Standard report,Sales,"For reporting on largest orders by Group product or group breakdown, sales performance tracking, time-based trend   filter by Customer Group, Rep Code, Top Line, Trans Date",Sales,Jimmy,Top Orders - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection242df5e6640b482bf377?experience=power-bi,3
Budget Product,Backorders,Line graph of backorders for stocked and all items,Standard report,Operations,,Sales,Dan,Back Orders - Budgets Product - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/43a75d75-4c18-4c07-b198-f782f6c8afc0/ReportSection2d7031b06cc11a857a47?experience=power-bi,3
CNR Report,Cust Product Comparisons,Cust Product Comparisons,CNR,CNR,products and customers revenue or quantity. Likely used to benchmark performance. filter by ,CNR,Chris,Cust Product Comparisons - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSection0709ce3a859013b129cb?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Labour Comparison,labour comparison by rep location,CNR,CNR,Compares products or customers across metrics like revenue or quantity. Likely used to benchmark performance. filter by ,CNR,Chris,Labour Comparison - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSection86add40291c06412c686?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Customer Sales List,customer based report,CNR,CNR,"Lists or summarises customer-level sales data over time, useful for account performance monitoring. filter by ",CNR,Chris,Customer Sales List - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectiona04d028288b99a4039e4?redirectedFromSignup=1&experience=power-bi,4
CNR Report,Graph Sales table,sales by service or stock,CNR,CNR,sum of total ex gst stock and service graph,CNR,Chris,Graph Sales table - CNR report - Power BI,https://app.powerbi.com/groups/6f00c53a-2e67-423f-8f97-7efb89a943db/reports/204f7c4b-8c8d-49ff-a096-48ed9750d528/ReportSectionab1e6de51cc4150c5010?redirectedFromSignup=1&experience=power-bi,4
